date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:30	1047/1047	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Feb%202021%2015:01:29%20GMT	https://www.autel.com/robots.txt		(from )
17:01:30	42547/42547	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:30%20GMT	https://www.autel.com/	/home/yuri/Desktop/autel/www.autel.com/index.html	(from )
17:01:31	42758/42758	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Feb%202021%2011:31:58%20GMT	https://www.autel.com/r/cms/www/default/autel/css/index.css	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/css/index.css	(from https://www.autel.com/)
17:01:32	16606/16606	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Oct%202019%2011:51:00%20GMT	https://www.autel.com/r/cms/www/default/autel/css/swiper.css	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/css/swiper.css	(from https://www.autel.com/)
17:01:33	88145/88145	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Sep%202019%2006:59:30%20GMT	https://www.autel.com/r/cms/www/default/autel/js/jquery_min.js	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/js/jquery_min.js	(from https://www.autel.com/)
17:01:34	294494/294494	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2021%20Sep%202019%2004:03:55%20GMT	https://www.autel.com/r/cms/www/default/autel/js/swiper.js	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/js/swiper.js	(from https://www.autel.com/)
17:01:35	21055/21055	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2009:50:44%20GMT	https://www.autel.com/r/cms/www/default/autel/js/index.js	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/js/index.js	(from https://www.autel.com/)
17:01:35	1455/1455	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Oct%202019%2003:08:52%20GMT	https://www.autel.com/r/cms/www/default/atImg/favicon.png	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/atImg/favicon.png	(from https://www.autel.com/)
17:01:37	68307/68307	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Nov%202019%2004:11:07%20GMT	https://www.autel.com/r/cms/www/default/autel/js/video.js	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/js/video.js	(from https://www.autel.com/)
17:01:38	14754/14754	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202019%2004:06:23%20GMT	https://www.autel.com/r/cms/www/default/autel/css/video-js.css	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/autel/css/video-js.css	(from https://www.autel.com/)
17:01:38	1329/1329	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:56:26%20GMT	https://www.autel.com/r/cms/www/default/atImg/header_logo.png	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/atImg/header_logo.png	(from https://www.autel.com/)
17:01:39	1994/1994	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2012:19:52%20GMT	https://www.autel.com/r/cms/www/default/atImg/header_logo-751.png	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/atImg/header_logo-751.png	(from https://www.autel.com/)
17:01:41	59766/59766	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:40%20GMT	https://www.autel.com/c/www/wheretobuy.jhtml	/home/yuri/Desktop/autel/www.autel.com/c/www/wheretobuy.html	(from https://www.autel.com/)
17:01:42	2570/2570	---MCZ	200	added ('OK')	image/png	date:Thu,%2026%20Sep%202019%2008:19:48%20GMT	https://www.autel.com/r/cms/www/default/atImg/account.png	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/atImg/account.png	(from https://www.autel.com/)
17:01:43	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2020%20Feb%202021%2015:01:41%20GMT	http://pro.autel.com/loginOut.html?loginToType=1	/home/yuri/Desktop/autel/pro.autel.com/loginOut.de473.delayed	(from https://www.autel.com/)
17:01:43	6178/6178	---MCZ	200	added ('OK')	image/png	date:Wed,%2009%20Oct%202019%2011:51:00%20GMT	https://www.autel.com/r/cms/www/default/atImg/arrow_down2.png	/home/yuri/Desktop/autel/www.autel.com/r/cms/www/default/atImg/arrow_down2.png	(from https://www.autel.com/)
17:01:43	36013/36013	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:41%20GMT	https://pro.autel.com/	/home/yuri/Desktop/autel/pro.autel.com/index.html	(from https://www.autel.com/)
17:01:44	422/422	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:43%20GMT	https://pro.autel.com/loginOut.html?loginToType=1	/home/yuri/Desktop/autel/pro.autel.com/loginOute473.html	(from https://www.autel.com/)
17:01:45	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Feb%202021%2015:01:45%20GMT	https://www.autel.com/jp	/home/yuri/Desktop/autel/www.autel.com/jp	(from https://www.autel.com/)
17:01:47	46092/46092	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:46%20GMT	https://www.autel.com/c/www/diagnostictools.jhtml	/home/yuri/Desktop/autel/www.autel.com/c/www/diagnostictools.html	(from https://www.autel.com/)
17:01:47	37126/37126	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:47%20GMT	https://www.autel.com/jp/	/home/yuri/Desktop/autel/www.autel.com/jp/index.html	(from https://www.autel.com/)
17:01:47	1692/1692	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050209kxgx.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050209kxgx.png	(from https://www.autel.com/)
17:01:48	38801/38801	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:47%20GMT	https://www.autel.com/es/	/home/yuri/Desktop/autel/www.autel.com/es/index.html	(from https://www.autel.com/)
17:01:49	2351/2351	---MCZ	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050220clf1.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050220clf1.png	(from https://www.autel.com/)
17:01:49	1474/1474	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050310okn4.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050310okn4.png	(from https://www.autel.com/)
17:01:51	34093/34093	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:50%20GMT	https://www.autel.com/c/www/specialtool.jhtml	/home/yuri/Desktop/autel/www.autel.com/c/www/specialtool.html	(from https://www.autel.com/)
17:01:51	1830/1830	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050249eyrl.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050249eyrl.png	(from https://www.autel.com/)
17:01:53	29141/29141	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:52%20GMT	https://www.autel.com/c/www/immotool.jhtml	/home/yuri/Desktop/autel/www.autel.com/c/www/immotool.html	(from https://www.autel.com/)
17:01:53	1861/1861	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050241n3id.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050241n3id.png	(from https://www.autel.com/)
17:01:55	33152/33152	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:54%20GMT	https://www.autel.com/c/www/support/3132.jhtml	/home/yuri/Desktop/autel/www.autel.com/c/www/support/3132.html	(from https://www.autel.com/)
17:01:55	1950/1950	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050913f2k6.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050913f2k6.png	(from https://www.autel.com/)
17:01:56	1560/1560	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050935uc0y.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050935uc0y.png	(from https://www.autel.com/)
17:01:58	357458/357458	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:57%20GMT	https://www.autel.com/faqs.jhtml	/home/yuri/Desktop/autel/www.autel.com/faqs.html	(from https://www.autel.com/)
17:01:58	1764/1764	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21050951sf9a.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21050951sf9a.png	(from https://www.autel.com/)
17:02:00	42928/42928	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:01:59%20GMT	https://www.autel.com/updateInfo.jhtml	/home/yuri/Desktop/autel/www.autel.com/updateInfo.html	(from https://www.autel.com/)
17:02:00	1729/1729	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21051012ql57.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21051012ql57.png	(from https://www.autel.com/)
17:02:02	87521/87521	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2015:02:01%20GMT	https://www.autel.com/download.jhtml	/home/yuri/Desktop/autel/www.autel.com/download.html	(from https://www.autel.com/)
17:02:02	1570/1570	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/21051026qd6a.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/21051026qd6a.png	(from https://www.autel.com/)
17:02:03	1763/1763	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202019%2011:31:32%20GMT	https://www.autel.com/u/cms/www/201910/210510393jl5.png	/home/yuri/Desktop/autel/www.autel.com/u/cms/www/201910/210510393jl5.png	(from https://www.autel.com/)
